run,episode,seed,success,steps,min_eef_cube_dist,final_eef_cube_dist,cube_displacement,final_cube_basket_dist,gripper_min,gripper_max,gripper_mean,joint_target_error_mean
visual50k,0,1000,True,199,0.036831971257925034,0.23826958239078522,0.044563154988280555,0.29814362396544497,-1.020033597946167,1.0140304565429688,-0.3419894908540812,0.06520922444573599
visual50k,1,1001,True,196,0.03575081750750542,0.2735518217086792,0.07724434410171956,0.3595940800376679,-1.0161967277526855,1.0133392810821533,-0.33178143598595444,0.05154822164272167
visual50k,2,1002,False,300,0.050959836691617966,0.10752777755260468,0.015283681979031056,0.2502531966089265,-1.0322643518447876,1.038428544998169,-0.12218181272347768,0.05962210229908427
visual50k,3,1003,True,205,0.03609094023704529,0.26514336466789246,0.0605636949678228,0.3653900362095616,-1.035226583480835,1.007253885269165,-0.29042765803453396,0.05090878432752883
visual50k,4,1004,True,200,0.04009519889950752,0.25811076164245605,0.0698478377753838,0.26782987980075207,-1.0240092277526855,1.0445787906646729,-0.33276963025331496,0.04933256956748664
visual50k,5,1005,True,208,0.038296736776828766,0.2730213403701782,0.07567135355025094,0.28193032615790137,-1.0176832675933838,1.0276367664337158,-0.3061456035536069,0.05691617232962297
visual50k,6,1006,False,300,0.05332055687904358,0.10064560920000076,0.016899062008903065,0.36748628037502007,-1.0494537353515625,1.0302555561065674,0.20746946215629578,0.06794531664423023
visual50k,7,1007,True,196,0.04425951465964317,0.2682764530181885,0.04668285313303609,0.3634430501920061,-1.0174269676208496,1.0126874446868896,-0.3615559944692923,0.06650334885533975
visual50k,8,1008,True,199,0.043253734707832336,0.28475478291511536,0.13173371757461844,0.3774470071070895,-1.0144362449645996,1.0359885692596436,-0.2580370169189108,0.0545611218479111
visual50k,9,1009,True,201,0.039256513118743896,0.27097833156585693,0.03337642862897132,0.3371122368889482,-1.0197176933288574,1.0185773372650146,-0.34413689968004746,0.06142131490771895
torque5k,0,1000,True,199,0.03246605023741722,0.23826958239078522,0.044563154988280555,0.29814362396544497,-1.0248355865478516,1.0202574729919434,-0.359589955315518,0.06608527701291907
torque5k,1,1001,True,195,0.03597577288746834,0.2735518217086792,0.07724434410171956,0.3595940800376679,-1.032470464706421,1.0188336372375488,-0.3497748836492881,0.04877458298817659
torque5k,2,1002,False,300,0.05077197030186653,0.0626119002699852,0.008298318717281624,0.26522371644557224,-1.0183563232421875,1.0347795486450195,-0.05531991998354594,0.06162683334822456
torque5k,3,1003,True,205,0.03921915590763092,0.26514336466789246,0.0605285870128744,0.3653900362095616,-1.024539589881897,1.0097861289978027,-0.2784424546288281,0.05015967120302887
torque5k,4,1004,True,200,0.03686364367604256,0.25811076164245605,0.0698478377753838,0.26782987980075207,-1.030447244644165,1.0369083881378174,-0.3356059604883194,0.049108301158994436
torque5k,5,1005,True,209,0.03556470200419426,0.2730213403701782,0.07567135355025094,0.28193032615790137,-1.0329656600952148,1.0387215614318848,-0.32594772132389854,0.057408311693933595
torque5k,6,1006,False,300,0.055201731622219086,0.09612391144037247,0.019019839760191525,0.37117858222294475,-1.04662024974823,1.0704991817474365,0.18730707466602325,0.06875397871558865
torque5k,7,1007,False,300,0.03666280210018158,0.03676246851682663,0.045409092133993,0.34249426460409516,-1.0546860694885254,1.025696039199829,-0.11305568605661392,0.07135056641884148
torque5k,8,1008,True,198,0.034505367279052734,0.28475478291511536,0.13173371757461844,0.3774470071070895,-1.0211677551269531,1.0437297821044922,-0.23638043048405888,0.05285148284482685
torque5k,9,1009,True,199,0.04187028110027313,0.27097833156585693,0.03337642862897132,0.3371122368889482,-1.0186548233032227,1.0239830017089844,-0.3227673966680939,0.05900852188898541
