episode,seed,visual_success,torque_success,paired_steps,dim0_mae,dim0_bias,dim0_maxabs,dim1_mae,dim1_bias,dim1_maxabs,dim2_mae,dim2_bias,dim2_maxabs,dim3_mae,dim3_bias,dim3_maxabs,dim4_mae,dim4_bias,dim4_maxabs,dim5_mae,dim5_bias,dim5_maxabs,dim6_mae,dim6_bias,dim6_maxabs,dim7_mae,dim7_bias,dim7_maxabs
0,1000,True,True,199,0.009508963777267154,0.002753496123243816,0.022556260228157043,0.008804657632232312,0.0005165453270152586,0.04341820627450943,0.010913205056933302,-0.010087323772847353,0.04310339689254761,0.006843565696447938,-0.0019534976039100533,0.019093751907348633,0.010050269639372226,0.0013769426986799766,0.04342511296272278,0.015422363377096664,-0.008691567272397142,0.04018521308898926,0.022743561160025284,0.01430918253845905,0.0634039044380188,0.0252731068050442,-0.017600464461436822,2.01338130235672
1,1001,True,True,195,0.0018297033718763253,0.00037980730143877175,0.009128555655479431,0.0052570719176378,0.0014019026015049372,0.017555058002471924,0.0021353248984385758,-0.0016724575406465774,0.009872354567050934,0.007191003897251227,-0.0034900506337483725,0.02546858787536621,0.00534509512094351,0.004946260727368868,0.014873035252094269,0.004235967000325521,-0.002804399148011819,0.01935267448425293,0.024667204037690776,0.024663271965124668,0.05082869529724121,0.015506274272234012,-0.011206515630086263,1.9183496832847595
2,1002,False,False,300,0.031233662826319536,0.024952173742155234,0.16182693094015121,0.10574416586508353,-0.005660058868428072,0.6552576124668121,0.023272489979863167,0.004897167061765989,0.09169268608093262,0.039661235014597576,0.013930308818817138,0.46628904342651367,0.03202951692044735,-0.0158085918178161,0.1782875582575798,0.06982512315114339,-0.031787662506103515,0.35885143280029297,0.06478199183940887,0.043092714548110964,0.4159671664237976,0.5097347714503606,0.06686189273993175,2.0219390988349915
3,1003,True,True,205,0.003949068486690521,0.0024797850992621445,0.011891841888427734,0.004599368681267994,-0.001210514873993106,0.03135231137275696,0.0073669300391906644,0.006989577030990182,0.01624666154384613,0.004993936492175591,0.0045506872781893104,0.015280723571777344,0.006259637762133668,0.0027934865435449087,0.02688586711883545,0.006519529296130669,-0.005972955285049066,0.03771662712097168,0.02031876066835915,0.02030344140238878,0.04437568783760071,0.016075471261652506,0.011985203405705894,2.0071277618408203
4,1004,True,True,200,0.013203787337988614,0.012894205749034882,0.027129366993904114,0.009492536559700965,0.00602685883641243,0.0224287211894989,0.015831431094557046,-0.01580792585387826,0.0329132005572319,0.006490072011947632,0.006174155473709106,0.013909101486206055,0.012323564421385526,0.012295417990535497,0.02801373600959778,0.008723095655441285,-0.007668532133102417,0.027776718139648438,0.040605894923210144,0.03168807238340378,0.07350730895996094,0.0062584254145622254,-0.002836330235004425,0.03543210029602051
5,1005,True,True,208,0.006694712076121225,0.005276992209613896,0.02293994650244713,0.01120034884661436,0.0004258164061376682,0.06239929795265198,0.007236936237089909,-0.005896387514300072,0.027710288763046265,0.00973517275773562,-0.0018604455085901113,0.022663593292236328,0.012262051871332984,0.00660886477607374,0.044381581246852875,0.023499130056454584,-0.013562586445074815,0.06454586982727051,0.028471415862441063,0.026122016545671683,0.06102749705314636,0.0355731572669286,-0.02606857825930302,2.039523124694824
6,1006,False,False,300,0.008885894132157167,0.00625469612578551,0.14212771877646446,0.034289346858859066,0.017105838830272356,0.5597690343856812,0.010393569407363733,0.0021535597617427507,0.15767834335565567,0.014245789051055908,-0.0020453365643819175,0.27279043197631836,0.014114388475815455,0.0025367659082015355,0.11915633827447891,0.025700486501057943,0.00796753724416097,0.31932997703552246,0.028481919169425964,0.0026791187127431235,0.47524893283843994,0.02808402955532074,-0.02016238749027252,1.9349623322486877
7,1007,True,False,196,0.026898487955711935,0.0024762026376414057,0.20774544775485992,0.049097961270991634,-0.014104429290306812,0.6731411516666412,0.019958238250442913,-0.005444993892190408,0.18739553540945053,0.040707357075749614,-0.011417724648300482,0.4609050750732422,0.0472071412000425,-0.04663800689562851,0.1217084676027298,0.03339056822718406,-0.002789932854321538,0.22559809684753418,0.10048927017012421,0.07565717262272932,0.29575127363204956,0.08178483116991665,0.0678727251230454,1.9626815915107727
8,1008,True,True,198,0.022179804544783,0.021963162338267072,0.196319080889225,0.03543286960609634,-0.007488068023865873,0.5742189288139343,0.02142941825693906,-0.014474975359108713,0.1821601241827011,0.023058898521192146,-0.018164246973365245,0.24930286407470703,0.012389561838724396,0.0037971850334092825,0.06270887702703476,0.026454941190854467,0.008562592544940987,0.2956881523132324,0.09264017054528902,0.09059002574044045,0.34914517402648926,0.06336791467184973,0.028012500266836146,2.026900351047516
9,1009,True,True,199,0.03641085621512415,-0.03351829802832711,0.3422098755836487,0.025054930161740912,0.006562756702079246,0.7049514949321747,0.03115859916012491,0.028627191693639035,0.06802614033222198,0.02878445057413686,0.0032230040535854935,0.5385088920593262,0.014940324066272333,0.010344394262711606,0.049498237669467926,0.0323540134046545,-0.0013854982864916624,0.16360163688659668,0.0925705639561217,-0.09062622000823668,0.7645130753517151,0.04158939009335772,0.0344479473391969,2.004277288913727
