run,dim,n,min,max,mean,std
visual50k,0,2204,-0.1529492884874344,0.421353816986084,0.038615359139616875,0.11945261196588616
visual50k,1,2204,-0.31064319610595703,0.531982421875,0.10336765247868702,0.2047987937213499
visual50k,2,2204,-0.3869304656982422,0.11666000634431839,-0.1283871549791817,0.10528418830018306
visual50k,3,2204,-2.766557216644287,-1.9595894813537598,-2.4356792960214526,0.18780029917362398
visual50k,4,2204,-0.08628230541944504,0.579136312007904,0.08920364640991181,0.1294788738981448
visual50k,5,2204,2.259212017059326,3.0075440406799316,2.570882796159457,0.1893622928722067
visual50k,6,2204,0.004350244998931885,1.4517862796783447,0.6142003898071074,0.2968364084959008
visual50k,7,2204,-1.0494537353515625,1.0445787906646729,-0.22171257482250026,0.9709771566335548
torque5k,0,2305,-0.14977112412452698,0.3676295280456543,0.04056640038359708,0.11339692969761112
torque5k,1,2305,-0.3132303059101105,0.5269822478294373,0.10322114833006373,0.20095585964904392
torque5k,2,2305,-0.3513529300689697,0.08724198490381241,-0.1315927902474967,0.09662625105580527
torque5k,3,2305,-2.7712934017181396,-1.9964734315872192,-2.442885081162939,0.18472153049215942
torque5k,4,2305,-0.06845634430646896,0.5555193424224854,0.08831602100792003,0.1247904955312638
torque5k,5,2305,2.2681126594543457,3.012924909591675,2.570928604949322,0.1885791030139095
torque5k,6,2305,-0.0088273286819458,1.3647093772888184,0.630063315004175,0.28833424603593377
torque5k,7,2305,-1.0546860694885254,1.0704991817474365,-0.18978050718338527,0.973690253991146
