run,episode,success,steps,mean_abs_dim6,mean_abs_gripper_dim7,min_gripper,max_gripper,final_eef_cube,hit_max_steps
visual50k,0,True,199,0.46825327166360825,0.9987706700761114,-1.020033597946167,1.0140304565429688,0.23826958239078522,False
visual50k,1,True,196,0.5529858336156729,0.9937535080374503,-1.0161967277526855,1.0133392810821533,0.2735518217086792,False
visual50k,2,False,300,0.6402559008200963,0.9873016001780828,-1.0322643518447876,1.038428544998169,0.10752777755260468,True
visual50k,3,True,205,0.6295738957277158,0.9909470482570369,-1.035226583480835,1.007253885269165,0.26514336466789246,False
visual50k,4,True,200,0.6627910315990448,1.0059707906842232,-1.0240092277526855,1.0445787906646729,0.25811076164245605,False
visual50k,5,True,208,0.6689827015193609,1.0038432453114252,-1.0176832675933838,1.0276367664337158,0.2730213403701782,False
visual50k,6,False,300,0.6020392887790997,0.9945808243751526,-1.0494537353515625,1.0302555561065674,0.10064560920000076,True
visual50k,7,True,196,0.4926302852679272,0.9998794340965699,-1.0174269676208496,1.0126874446868896,0.2682764530181885,False
visual50k,8,True,199,0.5042245795379332,0.9888655411538168,-1.0144362449645996,1.0359885692596436,0.28475478291511536,False
visual50k,9,True,201,0.9043581776358002,0.9987851384267286,-1.0197176933288574,1.0185773372650146,0.27097833156585693,False
visual50k_plus_visualonly5k,0,True,199,0.47173637211622305,0.996498508968545,-1.0180397033691406,1.0121879577636719,0.23826958239078522,False
visual50k_plus_visualonly5k,1,True,195,0.5852143824100494,0.9942273864379296,-1.0202387571334839,1.021474838256836,0.2735518217086792,False
visual50k_plus_visualonly5k,2,False,300,0.6441482383012772,0.9751131494839986,-1.0297348499298096,1.0291721820831299,0.12679925560951233,True
visual50k_plus_visualonly5k,3,True,198,0.5920223808950849,0.9885520603921678,-1.0072190761566162,1.013828992843628,0.26514336466789246,False
visual50k_plus_visualonly5k,4,True,204,0.7429843187039974,1.0015083399473452,-1.0249627828598022,1.0292456150054932,0.25811076164245605,False
visual50k_plus_visualonly5k,5,True,209,0.6366953138244209,1.0036748567836706,-1.0205976963043213,1.0303421020507812,0.2730213403701782,False
visual50k_plus_visualonly5k,6,False,300,0.5952394976218541,0.9904446095228195,-1.0438004732131958,1.0246071815490723,0.12007144093513489,True
visual50k_plus_visualonly5k,7,True,196,0.491367590214525,1.001135234625972,-1.0241533517837524,1.0170717239379883,0.2682764530181885,False
visual50k_plus_visualonly5k,8,True,195,0.5235045257287148,0.9894857403559563,-1.0211493968963623,1.019597053527832,0.28475478291511536,False
visual50k_plus_visualonly5k,9,True,201,0.8543389866601175,0.9985208466871461,-1.0255563259124756,1.0238895416259766,0.27097833156585693,False
visual50k_plus_torque5k,0,True,199,0.48256245420206734,1.0000339530820224,-1.0248355865478516,1.0202574729919434,0.23826958239078522,False
visual50k_plus_torque5k,1,True,195,0.5768184722998203,0.9975808079426105,-1.032470464706421,1.0188336372375488,0.2735518217086792,False
visual50k_plus_torque5k,2,False,300,0.6833486153682073,0.9516547826925913,-1.0183563232421875,1.0347795486450195,0.0626119002699852,True
visual50k_plus_torque5k,3,True,205,0.6498773371301046,0.9896989057703716,-1.024539589881897,1.0097861289978027,0.26514336466789246,False
visual50k_plus_torque5k,4,True,200,0.6944791039824486,1.0056559604406357,-1.030447244644165,1.0369083881378174,0.25811076164245605,False
visual50k_plus_torque5k,5,True,209,0.6970981010124444,1.0072745686512814,-1.0329656600952148,1.0387215614318848,0.2730213403701782,False
visual50k_plus_torque5k,6,False,300,0.6047184074918429,0.9877593010663986,-1.04662024974823,1.0704991817474365,0.09612391144037247,True
visual50k_plus_torque5k,7,False,300,0.5368297057350476,0.9963198227683703,-1.0546860694885254,1.025696039199829,0.03676246851682663,True
visual50k_plus_torque5k,8,True,198,0.59382866006909,0.995017968946033,-1.0211677551269531,1.0437297821044922,0.28475478291511536,False
visual50k_plus_torque5k,9,True,199,0.8093089614082222,0.9927883573512936,-1.0186548233032227,1.0239830017089844,0.27097833156585693,False
