global_index,episode_index,frame_index,variant,target_gripper,arm_drift_l2,arm_drift_linf,gripper_drift,gripper_pred,gripper_sign,target_arm_l2,target_gripper_abs,gripper_drift_abs,gripper_sign_flip_vs_orig,pred_a0,orig_a0,target_a0,pred_a1,orig_a1,target_a1,pred_a2,orig_a2,target_a2,pred_a3,orig_a3,target_a3,pred_a4,orig_a4,target_a4,pred_a5,orig_a5,target_a5,pred_a6,orig_a6,target_a6,pred_a7,orig_a7,target_a7
103,0,103,orig,-1.0,0.0,0.0,0.0,-0.997645378112793,-1,0.06814857572317123,0.0023546218872070312,0.0,0,-0.05619686096906662,-0.05619686096906662,-0.046455129981040955,0.3585309088230133,0.3585309088230133,0.31311851739883423,-0.2580403983592987,-0.2580403983592987,-0.2726616859436035,-2.3964169025421143,-2.3964169025421143,-2.4035143852233887,0.28482764959335327,0.28482764959335327,0.2545602321624756,2.7379629611968994,2.7379629611968994,2.7040390968322754,0.6240928173065186,0.6240928173065186,0.6116052269935608,-0.997645378112793,-0.997645378112793,-1.0
103,0,103,cam2_eval_affine,-1.0,0.05775155872106552,0.03373980522155762,-0.010775208473205566,-1.0084205865859985,-1,0.01445178221911192,0.008420586585998535,0.010775208473205566,0,-0.0465364009141922,-0.05619686096906662,-0.046455129981040955,0.32503899931907654,0.3585309088230133,0.31311851739883423,-0.27496063709259033,-0.2580403983592987,-0.2726616859436035,-2.4009628295898438,-2.3964169025421143,-2.4035143852233887,0.25991499423980713,0.28482764959335327,0.2545602321624756,2.704223155975342,2.7379629611968994,2.7040390968322754,0.6167283654212952,0.6240928173065186,0.6116052269935608,-1.0084205865859985,-0.997645378112793,-1.0
103,0,103,cam2_eval_mean,-1.0,0.04108418524265289,0.024238109588623047,-0.002992987632751465,-1.0006383657455444,-1,0.041631828993558884,0.0006383657455444336,0.002992987632751465,0,-0.0510324090719223,-0.05619686096906662,-0.046455129981040955,0.3370390832424164,0.3585309088230133,0.31311851739883423,-0.2680310010910034,-0.2580403983592987,-0.2726616859436035,-2.399801015853882,-2.3964169025421143,-2.4035143852233887,0.2690180540084839,0.28482764959335327,0.2545602321624756,2.7137248516082764,2.7379629611968994,2.7040390968322754,0.6399246454238892,0.6240928173065186,0.6116052269935608,-1.0006383657455444,-0.997645378112793,-1.0
103,0,103,cam2_zero,-1.0,0.02760954760015011,0.0172865092754364,-0.0008498430252075195,-0.9984952211380005,-1,0.04403894022107124,0.0015047788619995117,0.0008498430252075195,0,-0.049884192645549774,-0.05619686096906662,-0.046455129981040955,0.3412443995475769,0.3585309088230133,0.31311851739883423,-0.26320701837539673,-0.2580403983592987,-0.2726616859436035,-2.3946805000305176,-2.3964169025421143,-2.4035143852233887,0.2701030671596527,0.28482764959335327,0.2545602321624756,2.7253048419952393,2.7379629611968994,2.7040390968322754,0.6281993389129639,0.6240928173065186,0.6116052269935608,-0.9984952211380005,-0.997645378112793,-1.0
103,0,103,cam2_flat_train_mean,-1.0,0.029421024024486542,0.019192934036254883,-0.012662053108215332,-1.0103074312210083,-1,0.04256749898195267,0.0103074312210083,0.012662053108215332,0,-0.04698343575000763,-0.05619686096906662,-0.046455129981040955,0.3447607755661011,0.3585309088230133,0.31311851739883423,-0.26467564702033997,-0.2580403983592987,-0.2726616859436035,-2.3935327529907227,-2.3964169025421143,-2.4035143852233887,0.2749083340167999,0.28482764959335327,0.2545602321624756,2.7187700271606445,2.7379629611968994,2.7040390968322754,0.6156083345413208,0.6240928173065186,0.6116052269935608,-1.0103074312210083,-0.997645378112793,-1.0
103,0,103,cam2_flat_eval_mean,-1.0,0.0264876876026392,0.01419040560722351,-0.008468866348266602,-1.0061142444610596,-1,0.0450250506401062,0.00611424446105957,0.008468866348266602,0,-0.04955010861158371,-0.05619686096906662,-0.046455129981040955,0.3443405032157898,0.3585309088230133,0.31311851739883423,-0.26653924584388733,-0.2580403983592987,-0.2726616859436035,-2.396226167678833,-2.3964169025421143,-2.4035143852233887,0.27425843477249146,0.28482764959335327,0.2545602321624756,2.727787733078003,2.7379629611968994,2.7040390968322754,0.611110508441925,0.6240928173065186,0.6116052269935608,-1.0061142444610596,-0.997645378112793,-1.0
103,0,103,cam1_eval_affine,-1.0,0.02536897175014019,0.021538734436035156,-0.01340639591217041,-1.0110517740249634,-1,0.06369087845087051,0.011051774024963379,0.01340639591217041,0,-0.05275469273328781,-0.05619686096906662,-0.046455129981040955,0.3497598469257355,0.3585309088230133,0.31311851739883423,-0.2622784376144409,-0.2580403983592987,-0.2726616859436035,-2.398009777069092,-2.3964169025421143,-2.4035143852233887,0.27990150451660156,0.28482764959335327,0.2545602321624756,2.7311716079711914,2.7379629611968994,2.7040390968322754,0.6456315517425537,0.6240928173065186,0.6116052269935608,-1.0110517740249634,-0.997645378112793,-1.0
103,0,103,both_eval_affine,-1.0,0.03174423798918724,0.01650547981262207,-0.01397407054901123,-1.0116194486618042,-1,0.04801712930202484,0.0116194486618042,0.01397407054901123,0,-0.04942762851715088,-0.05619686096906662,-0.046455129981040955,0.34378889203071594,0.3585309088230133,0.31311851739883423,-0.2662490904331207,-0.2580403983592987,-0.2726616859436035,-2.3988592624664307,-2.3964169025421143,-2.4035143852233887,0.2709569036960602,0.28482764959335327,0.2545602321624756,2.7214574813842773,2.7379629611968994,2.7040390968322754,0.6384584307670593,0.6240928173065186,0.6116052269935608,-1.0116194486618042,-0.997645378112793,-1.0
1136,5,106,orig,-1.0,0.0,0.0,0.0,-0.9900127649307251,-1,0.033922627568244934,0.009987235069274902,0.0,0,-0.022801291197538376,-0.022801291197538376,-0.02772441692650318,0.28306522965431213,0.28306522965431213,0.2792668342590332,-0.3098699450492859,-0.3098699450492859,-0.3034692406654358,-2.432556629180908,-2.432556629180908,-2.436737537384033,0.2900571823120117,0.2900571823120117,0.29344072937965393,2.711061716079712,2.711061716079712,2.719844102859497,0.7553355097770691,0.7553355097770691,0.724270224571228,-0.9900127649307251,-0.9900127649307251,-1.0
1136,5,106,cam2_eval_affine,-1.0,0.024363812059164047,0.019565820693969727,-0.0042972564697265625,-0.9943100214004517,-1,0.0186003390699625,0.00568997859954834,0.0042972564697265625,0,-0.025927554816007614,-0.022801291197538376,-0.02772441692650318,0.29131025075912476,0.28306522965431213,0.2792668342590332,-0.3081643581390381,-0.3098699450492859,-0.3034692406654358,-2.4343581199645996,-2.432556629180908,-2.436737537384033,0.2991846203804016,0.2900571823120117,0.29344072937965393,2.7176613807678223,2.711061716079712,2.719844102859497,0.7357696890830994,0.7553355097770691,0.724270224571228,-0.9943100214004517,-0.9900127649307251,-1.0
